"ST04Q01";"ST15Q01";"ST19Q01";"misced";"fisced";"CLCUSE1";"ESCS";"FAMSTRUC";"BELONG";"STUDREL";"ATTLNACT";"ATSCHL";"ANXMAT";"FAILMAT";"INSTMOT";"INTMAT";"SMATBEH";"MATHEFF";"MATINTFC";"MATWKETH";"SCMAT";"SUBNORM"
1;4;1;2;4;2;-0,26;2;-0,37;1,13;1,2115;0,77;-0,47;-0,767;0,5;0,3;-0,4567;0,54;1,4565;0,4684;0,88;-0,0455
1;4;1;6;6;4;1,32;2;1,1;1,13;1,2115;0,77;-0,47;-0,076;1,59;1,23;1,1294;0,54;1,4565;1,2128;1,12;1,4014
2;2;1;5;6;4;1,45;2;1,1;-0,02;1,2115;-0,24;0,79;0,1524;0,05;-0,34;0,2171;-0,33;-1,5329;-0,7235;0,18;1,0265
1;1;1;6;6;3;0,11;2;-0,15;-0,02;1,2115;-0,24;-0,73;-0,767;1,11;1,51;1,0998;0,15;1,4565;0,4684;0,65;1,0265
2;1;1;2;1;2;-0,67;2;0,32;-0,02;-0,9394;-0,24;-0,47;0,3889;0,05;-0,34;-1,0226;-0,18;1,4565;0,1099;0,65;0,3026
1;1;1;4;4;3;0,47;2;0,32;-0,02;-0,9394;0,77;-0,47;-1,6239;0,05;0,91;-0,4567;-0,48;0,6584;0,2882;0,65;0,3026
1;2;2;6;4;3;0,95;2;-0,15;-0,02;1,2115;0,24;0,06;-1,6239;0,5;-0,34;-1,0226;-0,77;-0,2514;0,2882;0,41;1,4014
1;2;1;6;6;2;1,36;2;1,84;-0,02;1,2115;-0,24;0,06;-0,767;0,8;0,58;0,2171;-0,18;-1,4741;0,4684;0,88;0,3026
2;1;1;5;6;1;0,28;2;-0,54;-0,48;0,5206;0,77;-1;-0,767;1,59;0,91;0,4486;1,07;1,2499;1,2128;1,12;-0,3852
2;4;1;4;4;3;-0,32;2;-0,15;1,51;1,2115;2,35;0,06;0,3889;-0,39;0,3;0,6426;-0,77;-1,5329;-0,2356;-0,52;0,6602
2;3;1;6;4;3;1,12;2;-0,74;-0,48;0,5206;-0,24;0,06;-0,076;0,05;-0,34;-0,4567;-0,63;0,1775;-0,4017;0,18;0,3026
1;4;1;2;1;3;-0,47;2;-1,99;-0,48;1,2115;1,38;2,55;-0,3017;0,8;-0,95;0,9618;-0,77;-1,5329;1,6881;-1,01;1,4014
2;1;1;6;4;3;0,87;2;-0,37;1,51;0,5206;-0,24;0,06;0,64;0,05;-0,34;-0,0721;0,54;-0,7332;-0,0651;0,41;-0,3852
1;1;1;4;4;3;-0,01;2;-0,37;0,81;0,5206;-0,24;-0,2;0,1524;0,05;0;-0,4567;-0,33;0,1775;-1,1886;-0,76;0,3026
1;4;1;2;2;3;-0,83;2;-0,37;-0,02;-0,9394;-0,24;-0,2;-1,0202;0,05;0,58;-0,0721;-0,18;1,4565;0,2882;-0,06;0,3026
1;1;1;6;4;2;0,78;2;-1,42;-0,48;1,2115;-0,95;0,56;0,9139;1,59;0,58;-0,0721;-0,02;0,1775;1,0166;1,12;-0,0455
2;4;1;5;5;2;-0,33;2;-0,15;-0,79;0,5206;-0,64;0,06;0,1524;-0,39;0,3;0,9618;0,15;-1,5329;-0,2356;0,65;-0,7176
2;1;1;6;2;2;0,94;2;-0,37;-0,02;1,2115;-0,24;-0,2;-0,53;0,5;0,58;-0,0721;-0,02;0,6584;-0,2356;0,41;-0,7176
2;4;1;4;4;3;0,37;2;-0,74;0,45;-0,9394;-0,24;-0,2;0,3889;0,05;0;-1,0226;0,34;1,4565;-0,2356;0,18;0,3026
1;4;1;2;2;1;-1,64;3;1,84;-0,02;1,2115;0,77;1,26;0,64;0,05;0;-0,4567;-1,36;-0,477;-0,8805;-0,76;-0,0455
1;1;1;5;4;2;-0,23;2;0,08;2,16;1,2115;-0,24;0,32;-0,3017;0,05;-0,34;-1,0226;-0,18;-1,3074;-0,2356;0,18;0,6602
1;2;1;4;3;2;-0,47;2;-0,9;-0,48;-0,9394;-0,64;0,06;-0,076;0,05;-0,95;-1,0226;-1,21;-0,3495;-0,5641;-0,52;-0,0455
1;1;1;4;4;3;0,17;3;2,63;1,51;1,2115;2,35;0,32;-0,3017;1,59;1,81;0,2171;0,78;-0,7332;2,0389;0,41;2,235
1;4;2;1;1;3;-2,21;1;-0,56;-0,02;0,0873;-0,24;-0,47;-0,53;0,05;0,58;-0,4567;-0,02;0,6584;0,649;0,65;0,3026
1;1;1;4;4;3;-0,26;2;-0,37;0,45;0,5206;0,77;-1,68;0,3889;-0,9;0,58;1,3516;1,07;-0,7332;0,2882;0,65;-0,0455
2;1;1;4;6;2;1,27;2;-0,37;-0,02;1,2115;0,24;0,32;-0,767;-0,39;0,3;1,4702;-1,21;0,0758;0,4684;-0,06;0,3026
2;4;1;6;6;3;1,18;2;-0,15;-0,02;0,5206;0,77;0,56;0,3889;-1,56;-1,78;0,2171;1,07;-1,5329;-0,2356;-0,76;-1,0426
1;1;1;4;4;5;-0,76;2;0,82;1,13;1,2115;-0,24;0,32;1,5828;-0,39;0,3;-0,0721;-0,77;1,4565;-0,0651;-0,29;0,3026
2;2;2;6;6;3;1,02;2;2,63;2,16;0,5206;2,35;-2,37;-2,0269;1,59;1,23;0,2171;2,27;0,6584;2,0389;1,7;2,235
2;2;1;4;3;1;0,39;2;0,32;-0,02;0,0873;0,77;0,06;-0,3017;1,11;-1,27;-0,4567;-0,63;1,4565;-0,128;-0,52;0,3026
1;2;1;2;2;2;0,52;2;-0,9;-0,48;-0,9394;-1,22;0,32;0,1524;0,05;-0,34;0,2171;-1,06;-0,7332;-0,8805;0,18;-0,0455
1;2;1;6;1;2;2,07;2;-0,9;0,81;0,5206;-0,24;-1;-1,2999;0,8;0,91;0,6426;2,27;1,4565;0,4684;1,38;1,0265
1;1;1;2;6;2;0,74;2;0,56;0,45;1,2115;0,24;-0,2;-1,6239;1,59;0,58;0,2171;-0,18;-0,2514;0,8307;0,18;1,7943
2;2;1;1;2;1;0,27;1;0,08;-1,26;-1,9158;-1,7;0,79;-0,3017;-0,77;-0,34;0,4486;-0,87;0,6584;-0,0651;0,18;-0,3852
1;1;1;6;6;3;0,89;1;-0,37;0,45;-0,9394;-0,95;-0,2;-0,076;-0,9;-1,27;-0,0721;-0,33;-0,2514;-0,7235;-0,52;-0,3852
1;1;3;5;2;3;0,03;2;-1,05;-0,79;-0,9394;-0,64;0,32;1,2219;0,05;0;-0,0721;-0,48;-1,5329;-0,5641;-0,06;-0,3852
2;1;2;2;2;1;-0,44;2;-0,56;-0,02;-0,9394;-0,64;-0,47;-0,3017;-0,39;-0,34;0,4486;-0,18;0,8034;0,1099;-0,06;-0,0455
1;1;1;6;4;4;-0,02;2;-0,37;-0,48;-0,9394;-0,24;0,79;0,1524;0,05;-0,66;-2,1402;-0,77;-0,7332;-0,5641;-0,52;-0,3852
1;1;1;4;4;2;-0,8;2;-0,37;2,16;1,2115;1,38;-2,37;-0,076;0,8;-0,66;-0,4567;-0,02;-1,5329;0,2882;0,41;0,6602
1;1;4;6;4;2;1,36;2;-0,56;1,13;0,5206;0,24;0,06;-0,3017;0,05;-0,66;0,4486;0,15;0,1775;0,1099;0,41;0,3026
1;1;1;6;6;3;1,1;2;0,08;-0,02;1,2115;-0,24;0,32;-2,0269;0,5;0,58;-0,0721;-0,02;-0,7332;0,8307;0,18;1,4014
2;1;1;4;6;5;0,95;2;-0,74;-0,48;1,2115;0,24;0,32;-0,3017;1,59;1,51;0,9618;-0,02;0,1775;0,1099;0,18;0,3026
1;2;1;4;4;2;-0,63;2;-1,18;2,16;1,2115;-0,24;0,06;-0,3017;1,59;-0,34;0,2171;2,27;-0,2514;0,4684;0,65;1,4014
1;2;1;6;2;2;1,14;2;-0,15;1,13;1,2115;0,77;0,79;-0,3017;-0,67;0,3;0,2171;0,78;-0,6441;-0,0651;-0,06;1,4014
1;2;4;4;4;3;0,14;2;-1,18;-1,04;-1,7015;-2,99;-0,47;0,9139;-2,3;-0,95;0,6426;1,47;-1,5329;-0,0651;-0,76;0,3026
1;2;2;6;6;3;1,24;2;-0,56;-0,48;-0,9394;-0,64;-0,47;-0,076;-0,67;-0,34;0,2171;0,34;-0,2514;0,1099;0,65;-0,7176
1;1;1;5;4;3;-0,6;1;-0,74;-0,48;-0,9394;-0,24;-0,47;-0,3017;-0,9;-0,34;-1,0226;-0,48;-1,3074;-0,7235;-0,52;-1,0426
2;1;1;6;5;2;1,25;2;2,63;-0,02;1,2115;2,35;-0,73;-1,0202;1,59;0,91;0,9618;2,27;0,6584;-0,5641;0,88;2,8039
2;2;1;4;4;3;-0,31;1;-0,74;-0,02;1,2115;-0,24;0,06;-3,7666;0,05;0,91;-0,4567;-0,63;1,4565;0,2882;0,65;0,6602
1;1;1;2;2;3;-1,46;1;-0,74;-0,02;-0,9394;-1,22;0,79;0,3889;0,05;-0,34;-2,1402;-1,36;1,4565;-0,7235;-0,76;0,3026
1;2;1;4;4;2;0,31;2;-0,56;-0,02;-0,3397;-0,24;0,32;-0,767;0,05;-0,66;-0,0721;-0,77;-0,7332;-0,0651;-0,06;-0,3852
2;1;1;5;2;3;-0,3;2;0,56;-0,48;1,2115;0,77;0,32;-1,0202;0,5;0,91;0,4486;0,15;0,1775;-0,7235;0,18;-0,0455
2;1;1;6;6;3;1,14;2;1,84;2,16;0,5206;2,35;1,02;-0,076;-2,3;-1,78;-2,1402;0,15;-1,5329;-1,4948;-1,28;-0,7176
2;1;1;4;5;4;0,38;2;-0,37;0,45;0,0873;0,77;0,06;-1,2999;0,05;0,58;0,6426;-0,48;-0,2514;-0,0651;-0,52;1,0265
2;1;2;6;4;2;1,18;2;0,08;2,16;1,2115;0,24;-0,47;-0,767;0,05;0,3;0,6426;1,47;-0,2514;0,1099;0,41;0,3026
2;4;1;4;6;2;0,66;2;-2,27;-0,02;-0,9394;-0,95;1,26;2,0328;-1,33;-1,78;-0,4567;-0,48;-1,5329;-1,1886;-2,18;-0,3852
1;1;1;4;1;3;-0,13;1;-0,37;2,16;0,5206;-0,24;0,06;-1,0202;1,59;2,29;-0,0721;-0,02;-0,2514;0,2882;0,88;-0,0455
2;1;4;4;6;3;-0,37;2;1,1;1,13;1,2115;2,35;-0,73;-0,767;0,8;0,91;0,811;-0,48;-0,2514;2,0389;-0,06;1,0265
1;1;1;6;6;3;1,18;2;-0,74;-0,02;-0,9394;-0,24;0,06;-0,53;-1,12;-0,66;-1,0226;-0,18;-1,5329;0,2882;-1,28;-0,7176
2;1;1;6;6;3;1,09;2;1,1;-0,02;-0,3397;-0,64;-0,2;-0,076;0,5;1,51;-0,0721;-0,18;-0,2514;0,4684;1,38;1,0265
1;1;1;6;4;2;0,87;2;-0,15;-0,02;-0,9394;1,38;1,02;0,3889;1,11;0,3;-0,0721;-0,02;0,1775;0,1099;0,18;0,6602
2;4;1;5;5;3;1,29;2;-0,15;2,16;1,2115;1,38;0,32;-0,076;1,59;1,51;0,811;2,27;0,6584;-0,7235;-0,52;0,6602
1;1;1;5;6;3;1,1;2;0,82;1,51;1,2115;2,35;-0,47;-0,767;1,11;0,91;1,0998;2,27;-0,7332;0,1099;1,12;3,8587
1;4;1;4;4;2;0,18;1;-0,37;-0,02;-0,9394;-0,24;-0,47;-0,076;-0,67;0,3;0,4486;-0,48;-0,2514;0,1099;-0,06;-0,3852
2;1;1;5;4;1;0,14;1;1,1;-0,02;1,2115;-0,95;-0,47;-1,6239;-0,39;0,3;-1,0226;2,27;0,6584;-0,4017;1,38;-1,0426
2;4;1;2;4;3;-0,79;1;-0,37;-0,02;-0,9394;-0,24;0,79;0,9139;0,05;-0,34;0,6426;-1,36;-0,7332;-0,5641;-0,52;0,3026
2;2;1;6;6;3;1,43;2;-0,9;0,81;1,2115;0,54;-0,47;-1,2999;-0,39;0,3;0,4486;2,27;-0,7332;2,7167;0,57;-0,7176
2;1;1;3;6;2;1,18;2;0,08;-0,02;-0,3397;0,24;0,32;0,64;0,05;-0,34;-2,1402;-0,63;0,6584;-1,3412;-0,52;0,3026
2;1;1;4;5;2;-0,06;2;-0,37;-1,26;-0,9394;0,77;0,79;1,5828;-2,3;-1,78;-0,0721;-0,63;-0,2514;-0,8805;-1,01;0,3026
1;2;1;6;6;3;0,37;2;-0,15;-1,04;-0,9394;-0,24;0,06;0,64;-1,56;-1,27;-2,1402;-0,77;-1,5329;-1,1886;-0,76;-0,0455
1;1;2;4;4;2;-0,95;2;-1,05;-0,48;-0,9394;-0,24;0,06;-0,076;-0,9;-0,66;-0,4567;-0,63;0,6584;-0,5641;0,18;-0,0455
1;1;1;4;4;2;-0,97;2;0,32;1,13;0,5206;-1,46;-0,2;-1,6239;1,11;1,23;-0,4567;-0,33;0,1775;1,4298;0,88;0,6602
2;1;1;6;6;3;1,03;2;-0,56;1,13;-0,9394;-0,64;-0,2;-0,53;0,8;0;0,9618;2,27;0,1775;-1,6519;0,18;0,3026
1;1;1;1;1;1;-1,28;2;-0,9;-0,02;1,2115;-0,64;0,32;-0,076;0,8;-0,34;0,2171;-0,48;-0,2514;-0,7235;-0,29;0,3026
2;2;1;4;4;3;-0,53;2;-0,56;-0,79;-0,9394;-0,24;-0,47;-0,53;0,05;0;0,4486;0,54;-1,5329;-0,4017;-0,06;-0,0455
1;1;1;2;2;2;-0,31;2;-0,74;-1,26;-0,9394;-0,24;0,06;0,3889;-1,12;-0,34;-1,0226;-1,06;1,4565;-0,5641;-0,52;-1,0426
2;1;1;4;4;3;-0,69;2;0,82;-0,48;1,2115;-0,24;1,53;0,1524;1,59;0,58;0,4486;-0,18;-0,2514;-0,0651;-0,06;1,7943
2;4;1;4;2;3;-0,93;2;-1,42;-1,26;-0,3397;0,24;0,56;-1,0202;0,05;-0,34;-2,1402;-0,63;0,0758;-0,2356;0,18;-0,7176
2;2;1;6;5;3;0,44;2;0,08;-0,02;-0,9394;-0,24;0,79;-0,3017;-0,67;-1,27;-0,4567;-1,06;-0,1091;-0,4017;-0,76;-0,3852
2;1;1;6;4;5;-0,32;2;0,08;1,51;0,5206;1,38;1,53;0,3889;1,11;0,3;0,6426;-1,06;-1,5329;-0,8805;-0,29;1,4014
2;2;1;6;6;3;1,58;2;-0,9;-0,02;0,0873;0,77;0,06;0,9139;-2,3;-1,78;-0,0721;0,54;-1,5329;-0,0651;-1,28;-1,6717
2;1;1;6;6;2;1,13;2;0,82;-0,48;0,0873;0,77;-0,47;0,3889;0,5;0,91;0,811;1,47;1,4565;-0,2356;0,65;0,6602
1;3;3;1;1;1;-2,41;2;-1,53;2,16;-0,3397;0,24;1,89;0,1524;0,05;-0,66;-0,4567;-1,06;-1,5329;-0,8805;-1,28;0,6602
1;1;1;4;2;3;0,59;2;-0,37;-0,48;0,0873;-0,24;0,32;0,64;-1,12;-0,95;-1,0226;-0,33;-1,5329;-0,2356;-1,28;-0,7176
1;4;2;2;6;3;0,53;2;-0,74;-0,02;1,2115;-0,24;1,02;-0,53;-0,39;0;-0,4567;-1,06;-0,5485;-0,0651;-0,76;1,7943
2;2;1;3;6;3;0,98;2;-0,37;-0,48;0,5206;-0,24;-0,73;-1,2999;1,59;1,23;0,811;0,78;1,4006;0,4684;1,12;1,0265
